Medicine,Medicine_Encoded,Year,Month,Weekday_Encoded,Demand
M01AE,1,2014,1,0,1
N02BA,2,2014,1,0,1
N02BE,3,2014,1,0,0
N05B,4,2014,1,0,0
N05C,5,2014,1,0,0
R03,6,2014,1,0,0
R06,7,2014,1,0,0
M01AB,0,2014,1,1,1
M01AE,1,2014,1,1,1
N02BA,2,2014,1,1,1
N02BE,3,2014,1,1,0
N05B,4,2014,1,1,2
N05C,5,2014,1,1,2
R03,6,2014,1,1,2
R06,7,2014,1,1,1
M01AB,0,2014,1,2,0
M01AE,1,2014,1,2,1
N02BA,2,2014,1,2,1
N02BE,3,2014,1,2,2
N05B,4,2014,1,2,2
N05C,5,2014,1,2,2
R03,6,2014,1,2,0
R06,7,2014,1,2,0
M01AB,0,2014,1,3,2
M01AE,1,2014,1,3,1
N02BA,2,2014,1,3,2
N02BE,3,2014,1,3,0
N05B,4,2014,1,3,1
N05C,5,2014,1,3,0
R03,6,2014,1,3,1
R06,7,2014,1,3,1
M01AB,0,2014,1,4,1
M01AE,1,2014,1,4,1
N02BA,2,2014,1,4,1
N02BE,3,2014,1,4,1
N05B,4,2014,1,4,0
N05C,5,2014,1,4,2
R03,6,2014,1,4,0
R06,7,2014,1,4,1
M01AB,0,2014,1,5,1
M01AE,1,2014,1,5,2
N02BA,2,2014,1,5,2
N02BE,3,2014,1,5,1
N05B,4,2014,1,5,2
N05C,5,2014,1,5,1
R03,6,2014,1,5,0
R06,7,2014,1,5,0
M01AB,0,2014,1,6,1
M01AE,1,2014,1,6,2
N02BA,2,2014,1,6,1
N02BE,3,2014,1,6,1
N05B,4,2014,1,6,2
N05C,5,2014,1,6,0
R03,6,2014,1,6,1
R06,7,2014,1,6,0
M01AB,0,2014,1,0,1
M01AE,1,2014,1,0,0
N02BA,2,2014,1,0,0
N02BE,3,2014,1,0,1
N05B,4,2014,1,0,0
N05C,5,2014,1,0,0
R03,6,2014,1,0,0
R06,7,2014,1,0,0
M01AB,0,2014,1,1,1
M01AE,1,2014,1,1,1
N02BA,2,2014,1,1,0
N02BE,3,2014,1,1,1
N05B,4,2014,1,1,2
N05C,5,2014,1,1,2
R03,6,2014,1,1,0
R06,7,2014,1,1,1
M01AB,0,2014,1,2,1
M01AE,1,2014,1,2,1
N02BA,2,2014,1,2,1
N02BE,3,2014,1,2,0
N05B,4,2014,1,2,2
N05C,5,2014,1,2,2
R03,6,2014,1,2,0
R06,7,2014,1,2,2
M01AB,0,2014,1,3,1
M01AE,1,2014,1,3,1
N02BA,2,2014,1,3,0
N02BE,3,2014,1,3,0
N05B,4,2014,1,3,1
N05C,5,2014,1,3,1
R03,6,2014,1,3,0
R06,7,2014,1,3,1
M01AB,0,2014,1,4,1
M01AE,1,2014,1,4,0
N02BA,2,2014,1,4,1
N02BE,3,2014,1,4,1
N05B,4,2014,1,4,1
N05C,5,2014,1,4,1
R03,6,2014,1,4,1
R06,7,2014,1,4,1
M01AB,0,2014,1,5,0
M01AE,1,2014,1,5,1
N02BA,2,2014,1,5,2
N02BE,3,2014,1,5,1
N05B,4,2014,1,5,1
N05C,5,2014,1,5,0
R03,6,2014,1,5,0
R06,7,2014,1,5,0
M01AB,0,2014,2,6,1
M01AE,1,2014,2,6,1
N02BA,2,2014,2,6,1
N02BE,3,2014,2,6,2
N05B,4,2014,2,6,2
N05C,5,2014,2,6,1
R03,6,2014,2,6,2
R06,7,2014,2,6,0
M01AB,0,2014,2,0,2
M01AE,1,2014,2,0,1
N02BA,2,2014,2,0,0
N02BE,3,2014,2,0,0
N05B,4,2014,2,0,1
N05C,5,2014,2,0,2
R03,6,2014,2,0,1
R06,7,2014,2,0,0
M01AB,0,2014,2,1,1
M01AE,1,2014,2,1,0
N02BA,2,2014,2,1,2
N02BE,3,2014,2,1,1
N05B,4,2014,2,1,2
N05C,5,2014,2,1,1
R03,6,2014,2,1,0
R06,7,2014,2,1,0
M01AB,0,2014,2,2,0
M01AE,1,2014,2,2,1
N02BA,2,2014,2,2,2
N02BE,3,2014,2,2,1
N05B,4,2014,2,2,1
N05C,5,2014,2,2,1
R03,6,2014,2,2,2
R06,7,2014,2,2,1
M01AB,0,2014,2,3,0
M01AE,1,2014,2,3,1
N02BA,2,2014,2,3,2
N02BE,3,2014,2,3,1
N05B,4,2014,2,3,2
N05C,5,2014,2,3,1
R03,6,2014,2,3,0
R06,7,2014,2,3,0
M01AB,0,2014,2,4,1
M01AE,1,2014,2,4,2
N02BA,2,2014,2,4,1
N02BE,3,2014,2,4,2
N05B,4,2014,2,4,2
N05C,5,2014,2,4,2
R03,6,2014,2,4,1
R06,7,2014,2,4,1
M01AB,0,2014,2,5,0
M01AE,1,2014,2,5,2
N02BA,2,2014,2,5,2
N02BE,3,2014,2,5,1
N05B,4,2014,2,5,2
N05C,5,2014,2,5,1
R03,6,2014,2,5,0
R06,7,2014,2,5,0
M01AB,0,2014,2,6,1
M01AE,1,2014,2,6,1
N02BA,2,2014,2,6,2
N02BE,3,2014,2,6,1
N05B,4,2014,2,6,2
N05C,5,2014,2,6,1
R03,6,2014,2,6,0
R06,7,2014,2,6,0
M01AB,0,2014,2,0,1
M01AE,1,2014,2,0,1
N02BA,2,2014,2,0,0
N02BE,3,2014,2,0,1
N05B,4,2014,2,0,1
N05C,5,2014,2,0,0
R03,6,2014,2,0,1
R06,7,2014,2,0,0
M01AB,0,2014,2,1,1
M01AE,1,2014,2,1,2
N02BA,2,2014,2,1,2
N02BE,3,2014,2,1,2
N05B,4,2014,2,1,2
N05C,5,2014,2,1,2
R03,6,2014,2,1,1
R06,7,2014,2,1,0
M01AB,0,2014,2,2,2
M01AE,1,2014,2,2,2
N02BA,2,2014,2,2,2
N02BE,3,2014,2,2,2
N05B,4,2014,2,2,2
N05C,5,2014,2,2,2
R03,6,2014,2,2,1
R06,7,2014,2,2,1
M01AB,0,2014,2,3,2
M01AE,1,2014,2,3,0
N02BA,2,2014,2,3,2
N02BE,3,2014,2,3,2
N05B,4,2014,2,3,1
N05C,5,2014,2,3,0
R03,6,2014,2,3,1
R06,7,2014,2,3,0
M01AB,0,2014,2,4,1
M01AE,1,2014,2,4,1
N02BA,2,2014,2,4,2
N02BE,3,2014,2,4,2
N05B,4,2014,2,4,2
N05C,5,2014,2,4,2
R03,6,2014,2,4,0
R06,7,2014,2,4,0
M01AB,0,2014,2,5,1
M01AE,1,2014,2,5,1
N02BA,2,2014,2,5,1
N02BE,3,2014,2,5,2
N05B,4,2014,2,5,2
N05C,5,2014,2,5,2
R03,6,2014,2,5,0
R06,7,2014,2,5,2
M01AB,0,2014,2,6,0
M01AE,1,2014,2,6,0
N02BA,2,2014,2,6,0
N02BE,3,2014,2,6,1
N05B,4,2014,2,6,1
N05C,5,2014,2,6,0
R03,6,2014,2,6,0
R06,7,2014,2,6,2
M01AB,0,2014,2,0,0
M01AE,1,2014,2,0,0
N02BA,2,2014,2,0,0
N02BE,3,2014,2,0,1
N05B,4,2014,2,0,0
N05C,5,2014,2,0,2
R03,6,2014,2,0,1
R06,7,2014,2,0,0
M01AB,0,2014,2,1,2
M01AE,1,2014,2,1,1
N02BA,2,2014,2,1,2
N02BE,3,2014,2,1,1
N05B,4,2014,2,1,2
N05C,5,2014,2,1,1
R03,6,2014,2,1,1
R06,7,2014,2,1,0
M01AB,0,2014,2,2,2
M01AE,1,2014,2,2,2
N02BA,2,2014,2,2,2
N02BE,3,2014,2,2,2
N05B,4,2014,2,2,2
N05C,5,2014,2,2,0
R03,6,2014,2,2,2
R06,7,2014,2,2,2
M01AB,0,2014,2,3,1
M01AE,1,2014,2,3,1
N02BA,2,2014,2,3,2
N02BE,3,2014,2,3,2
N05B,4,2014,2,3,2
N05C,5,2014,2,3,1
R03,6,2014,2,3,1
R06,7,2014,2,3,0
M01AB,0,2014,2,4,2
M01AE,1,2014,2,4,2
N02BA,2,2014,2,4,1
N02BE,3,2014,2,4,1
N05B,4,2014,2,4,2
N05C,5,2014,2,4,2
R03,6,2014,2,4,1
R06,7,2014,2,4,0
M01AB,0,2014,2,5,1
M01AE,1,2014,2,5,1
N02BA,2,2014,2,5,2
N02BE,3,2014,2,5,1
N05B,4,2014,2,5,2
N05C,5,2014,2,5,0
R03,6,2014,2,5,0
R06,7,2014,2,5,0
M01AB,0,2014,2,6,2
M01AE,1,2014,2,6,1
N02BA,2,2014,2,6,2
N02BE,3,2014,2,6,1
N05B,4,2014,2,6,1
N05C,5,2014,2,6,0
R03,6,2014,2,6,0
R06,7,2014,2,6,0
M01AB,0,2014,2,0,0
M01AE,1,2014,2,0,1
N02BA,2,2014,2,0,0
N02BE,3,2014,2,0,1
N05B,4,2014,2,0,1
N05C,5,2014,2,0,0
R03,6,2014,2,0,0
R06,7,2014,2,0,0
M01AB,0,2014,2,1,2
M01AE,1,2014,2,1,1
N02BA,2,2014,2,1,2
N02BE,3,2014,2,1,1
N05B,4,2014,2,1,0
N05C,5,2014,2,1,0
R03,6,2014,2,1,0
R06,7,2014,2,1,1
M01AB,0,2014,2,2,1
M01AE,1,2014,2,2,0
N02BA,2,2014,2,2,2
N02BE,3,2014,2,2,1
N05B,4,2014,2,2,2
N05C,5,2014,2,2,0
R03,6,2014,2,2,0
R06,7,2014,2,2,1
M01AB,0,2014,2,3,1
M01AE,1,2014,2,3,1
N02BA,2,2014,2,3,0
N02BE,3,2014,2,3,1
N05B,4,2014,2,3,0
N05C,5,2014,2,3,0
R03,6,2014,2,3,2
R06,7,2014,2,3,0
M01AB,0,2014,2,4,0
M01AE,1,2014,2,4,2
N02BA,2,2014,2,4,1
N02BE,3,2014,2,4,1
N05B,4,2014,2,4,1
N05C,5,2014,2,4,1
R03,6,2014,2,4,1
R06,7,2014,2,4,0
M01AB,0,2014,2,5,2
M01AE,1,2014,2,5,2
N02BA,2,2014,2,5,2
N02BE,3,2014,2,5,1
N05B,4,2014,2,5,1
N05C,5,2014,2,5,1
R03,6,2014,2,5,1
R06,7,2014,2,5,0
M01AB,0,2014,3,6,1
M01AE,1,2014,3,6,1
N02BA,2,2014,3,6,2
N02BE,3,2014,3,6,2
N05B,4,2014,3,6,1
N05C,5,2014,3,6,0
R03,6,2014,3,6,0
R06,7,2014,3,6,1
M01AB,0,2014,3,0,1
M01AE,1,2014,3,0,0
N02BA,2,2014,3,0,0
N02BE,3,2014,3,0,0
N05B,4,2014,3,0,0
N05C,5,2014,3,0,0
R03,6,2014,3,0,0
R06,7,2014,3,0,0
M01AB,0,2014,3,1,1
M01AE,1,2014,3,1,1
N02BA,2,2014,3,1,0
N02BE,3,2014,3,1,1
N05B,4,2014,3,1,0
N05C,5,2014,3,1,2
R03,6,2014,3,1,0
R06,7,2014,3,1,1
M01AB,0,2014,3,2,1
M01AE,1,2014,3,2,2
N02BA,2,2014,3,2,2
N02BE,3,2014,3,2,2
N05B,4,2014,3,2,1
N05C,5,2014,3,2,0
R03,6,2014,3,2,1
R06,7,2014,3,2,1
M01AB,0,2014,3,3,1
M01AE,1,2014,3,3,0
N02BA,2,2014,3,3,1
N02BE,3,2014,3,3,1
N05B,4,2014,3,3,0
N05C,5,2014,3,3,0
R03,6,2014,3,3,0
R06,7,2014,3,3,0
M01AB,0,2014,3,4,0
M01AE,1,2014,3,4,0
N02BA,2,2014,3,4,2
N02BE,3,2014,3,4,2
N05B,4,2014,3,4,2
N05C,5,2014,3,4,1
R03,6,2014,3,4,1
R06,7,2014,3,4,0
M01AB,0,2014,3,5,1
M01AE,1,2014,3,5,1
N02BA,2,2014,3,5,2
N02BE,3,2014,3,5,1
N05B,4,2014,3,5,0
N05C,5,2014,3,5,1
R03,6,2014,3,5,0
R06,7,2014,3,5,1
M01AB,0,2014,3,6,1
M01AE,1,2014,3,6,1
N02BA,2,2014,3,6,0
N02BE,3,2014,3,6,1
N05B,4,2014,3,6,1
N05C,5,2014,3,6,0
R03,6,2014,3,6,0
R06,7,2014,3,6,0
M01AB,0,2014,3,0,0
M01AE,1,2014,3,0,0
N02BA,2,2014,3,0,1
N02BE,3,2014,3,0,0
N05B,4,2014,3,0,0
N05C,5,2014,3,0,0
R03,6,2014,3,0,1
R06,7,2014,3,0,0
M01AB,0,2014,3,1,2
M01AE,1,2014,3,1,2
N02BA,2,2014,3,1,1
N02BE,3,2014,3,1,2
N05B,4,2014,3,1,1
N05C,5,2014,3,1,0
R03,6,2014,3,1,0
R06,7,2014,3,1,1
M01AB,0,2014,3,2,1
M01AE,1,2014,3,2,2
N02BA,2,2014,3,2,2
N02BE,3,2014,3,2,1
N05B,4,2014,3,2,1
N05C,5,2014,3,2,1
R03,6,2014,3,2,0
R06,7,2014,3,2,2
M01AB,0,2014,3,3,1
M01AE,1,2014,3,3,1
N02BA,2,2014,3,3,2
N02BE,3,2014,3,3,1
N05B,4,2014,3,3,2
N05C,5,2014,3,3,2
R03,6,2014,3,3,1
R06,7,2014,3,3,1
M01AB,0,2014,3,4,0
M01AE,1,2014,3,4,1
N02BA,2,2014,3,4,2
N02BE,3,2014,3,4,0
N05B,4,2014,3,4,1
N05C,5,2014,3,4,0
R03,6,2014,3,4,2
R06,7,2014,3,4,1
M01AB,0,2014,3,5,1
M01AE,1,2014,3,5,0
N02BA,2,2014,3,5,0
N02BE,3,2014,3,5,0
N05B,4,2014,3,5,1
N05C,5,2014,3,5,0
R03,6,2014,3,5,0
R06,7,2014,3,5,1
M01AB,0,2014,3,6,1
M01AE,1,2014,3,6,0
N02BA,2,2014,3,6,2
N02BE,3,2014,3,6,1
N05B,4,2014,3,6,2
N05C,5,2014,3,6,1
R03,6,2014,3,6,1
R06,7,2014,3,6,1
M01AB,0,2014,3,0,0
M01AE,1,2014,3,0,0
N02BA,2,2014,3,0,0
N02BE,3,2014,3,0,0
N05B,4,2014,3,0,1
N05C,5,2014,3,0,0
R03,6,2014,3,0,0
R06,7,2014,3,0,1
M01AB,0,2014,3,1,2
M01AE,1,2014,3,1,1
N02BA,2,2014,3,1,2
N02BE,3,2014,3,1,1
N05B,4,2014,3,1,1
N05C,5,2014,3,1,1
R03,6,2014,3,1,0
R06,7,2014,3,1,0
M01AB,0,2014,3,2,2
M01AE,1,2014,3,2,1
N02BA,2,2014,3,2,1
N02BE,3,2014,3,2,1
N05B,4,2014,3,2,1
N05C,5,2014,3,2,0
R03,6,2014,3,2,0
R06,7,2014,3,2,1
M01AB,0,2014,3,3,1
M01AE,1,2014,3,3,1
N02BA,2,2014,3,3,1
N02BE,3,2014,3,3,1
N05B,4,2014,3,3,0
N05C,5,2014,3,3,0
R03,6,2014,3,3,0
R06,7,2014,3,3,1
M01AB,0,2014,3,4,0
M01AE,1,2014,3,4,2
N02BA,2,2014,3,4,0
N02BE,3,2014,3,4,1
N05B,4,2014,3,4,0
N05C,5,2014,3,4,0
R03,6,2014,3,4,1
R06,7,2014,3,4,2
M01AB,0,2014,3,5,1
M01AE,1,2014,3,5,1
N02BA,2,2014,3,5,1
N02BE,3,2014,3,5,2
N05B,4,2014,3,5,0
N05C,5,2014,3,5,0
R03,6,2014,3,5,1
R06,7,2014,3,5,0
M01AB,0,2014,3,6,1
M01AE,1,2014,3,6,0
N02BA,2,2014,3,6,0
N02BE,3,2014,3,6,1
N05B,4,2014,3,6,1
N05C,5,2014,3,6,2
R03,6,2014,3,6,2
R06,7,2014,3,6,2
M01AB,0,2014,3,0,1
M01AE,1,2014,3,0,0
N02BA,2,2014,3,0,1
N02BE,3,2014,3,0,1
N05B,4,2014,3,0,0
N05C,5,2014,3,0,1
R03,6,2014,3,0,0
R06,7,2014,3,0,1
M01AB,0,2014,3,1,1
M01AE,1,2014,3,1,0
N02BA,2,2014,3,1,1
N02BE,3,2014,3,1,1
N05B,4,2014,3,1,1
N05C,5,2014,3,1,0
R03,6,2014,3,1,1
R06,7,2014,3,1,1
M01AB,0,2014,3,2,1
M01AE,1,2014,3,2,0
N02BA,2,2014,3,2,2
N02BE,3,2014,3,2,2
N05B,4,2014,3,2,1
N05C,5,2014,3,2,0
R03,6,2014,3,2,0
R06,7,2014,3,2,0
M01AB,0,2014,3,3,0
M01AE,1,2014,3,3,1
N02BA,2,2014,3,3,2
N02BE,3,2014,3,3,0
N05B,4,2014,3,3,1
N05C,5,2014,3,3,2
R03,6,2014,3,3,1
R06,7,2014,3,3,0
M01AB,0,2014,3,4,1
M01AE,1,2014,3,4,0
N02BA,2,2014,3,4,0
N02BE,3,2014,3,4,1
N05B,4,2014,3,4,1
N05C,5,2014,3,4,1
R03,6,2014,3,4,0
R06,7,2014,3,4,2
M01AB,0,2014,3,5,0
M01AE,1,2014,3,5,0
N02BA,2,2014,3,5,2
N02BE,3,2014,3,5,0
N05B,4,2014,3,5,0
N05C,5,2014,3,5,0
R03,6,2014,3,5,2
R06,7,2014,3,5,2
M01AB,0,2014,3,6,1
M01AE,1,2014,3,6,2
N02BA,2,2014,3,6,1
N02BE,3,2014,3,6,1
N05B,4,2014,3,6,1
N05C,5,2014,3,6,2
R03,6,2014,3,6,2
R06,7,2014,3,6,1
M01AB,0,2014,3,0,0
M01AE,1,2014,3,0,0
N02BA,2,2014,3,0,0
N02BE,3,2014,3,0,0
N05B,4,2014,3,0,0
N05C,5,2014,3,0,0
R03,6,2014,3,0,0
R06,7,2014,3,0,2
M01AB,0,2014,3,1,1
M01AE,1,2014,3,1,0
N02BA,2,2014,3,1,1
N02BE,3,2014,3,1,0
N05B,4,2014,3,1,1
N05C,5,2014,3,1,1
R03,6,2014,3,1,1
R06,7,2014,3,1,2
M01AB,0,2014,4,2,1
M01AE,1,2014,4,2,0
N02BA,2,2014,4,2,2
N02BE,3,2014,4,2,1
N05B,4,2014,4,2,0
N05C,5,2014,4,2,2
R03,6,2014,4,2,1
R06,7,2014,4,2,0
M01AB,0,2014,4,3,0
M01AE,1,2014,4,3,1
N02BA,2,2014,4,3,2
N02BE,3,2014,4,3,1
N05B,4,2014,4,3,0
N05C,5,2014,4,3,0
R03,6,2014,4,3,1
R06,7,2014,4,3,1
M01AB,0,2014,4,4,0
M01AE,1,2014,4,4,0
N02BA,2,2014,4,4,1
N02BE,3,2014,4,4,1
N05B,4,2014,4,4,0
N05C,5,2014,4,4,0
R03,6,2014,4,4,0
R06,7,2014,4,4,1
M01AB,0,2014,4,5,0
M01AE,1,2014,4,5,1
N02BA,2,2014,4,5,1
N02BE,3,2014,4,5,1
N05B,4,2014,4,5,1
N05C,5,2014,4,5,2
R03,6,2014,4,5,1
R06,7,2014,4,5,1
M01AB,0,2014,4,6,0
M01AE,1,2014,4,6,2
N02BA,2,2014,4,6,2
N02BE,3,2014,4,6,1
N05B,4,2014,4,6,0
N05C,5,2014,4,6,0
R03,6,2014,4,6,1
R06,7,2014,4,6,1
M01AB,0,2014,4,0,0
M01AE,1,2014,4,0,0
N02BA,2,2014,4,0,0
N02BE,3,2014,4,0,0
N05B,4,2014,4,0,0
N05C,5,2014,4,0,0
R03,6,2014,4,0,0
R06,7,2014,4,0,0
M01AB,0,2014,4,1,1
M01AE,1,2014,4,1,2
N02BA,2,2014,4,1,2
N02BE,3,2014,4,1,1
N05B,4,2014,4,1,0
N05C,5,2014,4,1,0
R03,6,2014,4,1,0
R06,7,2014,4,1,0
M01AB,0,2014,4,2,1
M01AE,1,2014,4,2,0
N02BA,2,2014,4,2,0
N02BE,3,2014,4,2,0
N05B,4,2014,4,2,1
N05C,5,2014,4,2,1
R03,6,2014,4,2,0
R06,7,2014,4,2,2
M01AB,0,2014,4,3,1
M01AE,1,2014,4,3,0
N02BA,2,2014,4,3,0
N02BE,3,2014,4,3,0
N05B,4,2014,4,3,0
N05C,5,2014,4,3,1
R03,6,2014,4,3,1
R06,7,2014,4,3,1
M01AB,0,2014,4,4,1
M01AE,1,2014,4,4,0
N02BA,2,2014,4,4,0
N02BE,3,2014,4,4,0
N05B,4,2014,4,4,1
N05C,5,2014,4,4,0
R03,6,2014,4,4,1
R06,7,2014,4,4,1
M01AB,0,2014,4,5,1
M01AE,1,2014,4,5,1
N02BA,2,2014,4,5,1
N02BE,3,2014,4,5,1
N05B,4,2014,4,5,0
N05C,5,2014,4,5,2
R03,6,2014,4,5,0
R06,7,2014,4,5,1
M01AB,0,2014,4,6,2
M01AE,1,2014,4,6,1
N02BA,2,2014,4,6,2
N02BE,3,2014,4,6,1
N05B,4,2014,4,6,2
N05C,5,2014,4,6,0
R03,6,2014,4,6,2
R06,7,2014,4,6,1
M01AB,0,2014,4,0,0
M01AE,1,2014,4,0,0
N02BA,2,2014,4,0,0
N02BE,3,2014,4,0,0
N05B,4,2014,4,0,0
N05C,5,2014,4,0,0
R03,6,2014,4,0,1
R06,7,2014,4,0,1
M01AB,0,2014,4,1,0
M01AE,1,2014,4,1,1
N02BA,2,2014,4,1,2
N02BE,3,2014,4,1,1
N05B,4,2014,4,1,1
N05C,5,2014,4,1,0
R03,6,2014,4,1,1
R06,7,2014,4,1,2
M01AB,0,2014,4,2,1
M01AE,1,2014,4,2,1
N02BA,2,2014,4,2,2
N02BE,3,2014,4,2,0
N05B,4,2014,4,2,1
N05C,5,2014,4,2,0
R03,6,2014,4,2,2
R06,7,2014,4,2,0
M01AB,0,2014,4,3,0
M01AE,1,2014,4,3,0
N02BA,2,2014,4,3,1
N02BE,3,2014,4,3,1
N05B,4,2014,4,3,0
N05C,5,2014,4,3,0
R03,6,2014,4,3,1
R06,7,2014,4,3,1
M01AB,0,2014,4,4,1
M01AE,1,2014,4,4,0
N02BA,2,2014,4,4,2
N02BE,3,2014,4,4,0
N05B,4,2014,4,4,2
N05C,5,2014,4,4,0
R03,6,2014,4,4,0
R06,7,2014,4,4,0
M01AB,0,2014,4,5,2
M01AE,1,2014,4,5,2
N02BA,2,2014,4,5,2
N02BE,3,2014,4,5,1
N05B,4,2014,4,5,1
N05C,5,2014,4,5,1
R03,6,2014,4,5,0
R06,7,2014,4,5,2
M01AB,0,2014,4,6,2
M01AE,1,2014,4,6,1
N02BA,2,2014,4,6,1
N02BE,3,2014,4,6,1
N05B,4,2014,4,6,1
N05C,5,2014,4,6,0
R03,6,2014,4,6,1
R06,7,2014,4,6,2
M01AB,0,2014,4,0,0
M01AE,1,2014,4,0,0
N02BA,2,2014,4,0,0
N02BE,3,2014,4,0,0
N05B,4,2014,4,0,0
N05C,5,2014,4,0,0
R03,6,2014,4,0,0
R06,7,2014,4,0,0
M01AB,0,2014,4,1,0
M01AE,1,2014,4,1,0
N02BA,2,2014,4,1,1
N02BE,3,2014,4,1,0
N05B,4,2014,4,1,1
N05C,5,2014,4,1,0
R03,6,2014,4,1,0
R06,7,2014,4,1,0
M01AB,0,2014,4,2,1
M01AE,1,2014,4,2,2
N02BA,2,2014,4,2,1
N02BE,3,2014,4,2,1
N05B,4,2014,4,2,1
N05C,5,2014,4,2,1
R03,6,2014,4,2,0
R06,7,2014,4,2,0
M01AB,0,2014,4,3,1
M01AE,1,2014,4,3,0
N02BA,2,2014,4,3,1
N02BE,3,2014,4,3,1
N05B,4,2014,4,3,1
N05C,5,2014,4,3,1
R03,6,2014,4,3,1
R06,7,2014,4,3,0
M01AB,0,2014,4,4,0
M01AE,1,2014,4,4,0
N02BA,2,2014,4,4,0
N02BE,3,2014,4,4,1
N05B,4,2014,4,4,1
N05C,5,2014,4,4,0
R03,6,2014,4,4,1
R06,7,2014,4,4,1
M01AB,0,2014,4,5,0
M01AE,1,2014,4,5,0
N02BA,2,2014,4,5,1
N02BE,3,2014,4,5,1
N05B,4,2014,4,5,1
N05C,5,2014,4,5,1
R03,6,2014,4,5,0
R06,7,2014,4,5,1
M01AB,0,2014,4,6,1
