datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,Total_Sales,High_Demand,Weekday_Encoded
2014-01-25,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2014,1,Saturday,81.8,1,6
2014-01-26,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2014,1,Sunday,34.01,0,0
2014-01-27,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014,1,Monday,56.81,0,1
2014-01-28,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014,1,Tuesday,58.52,1,2
2014-01-29,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014,1,Wednesday,39.33,0,3
2014-01-30,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014,1,Thursday,45.26,0,4
2014-01-31,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2014,1,Friday,47.68,0,5
2014-02-01,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,2,Saturday,84.65,1,6
2014-02-02,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,2,Sunday,39.7,0,0
2014-02-03,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,2,Monday,64.9,1,1
2014-02-04,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,2,Tuesday,69.93,1,2
2014-02-05,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,2,Wednesday,63.62,1,3
2014-02-06,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,Thursday,80.91,1,4
2014-02-07,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,Friday,64.43,1,5
2014-02-08,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,Saturday,74.18,1,6
2014-02-09,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,Sunday,56.5,0,0
2014-02-10,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,Monday,90.93,1,1
2014-02-11,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,Tuesday,105.09,1,2
2014-02-12,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,Wednesday,107.37,1,3
2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,Thursday,84.1,1,4
2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,Friday,76.50999999999999,1,5
2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,Saturday,57.34,0,6
2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,Sunday,47.88,0,0
2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,Monday,72.03999999999999,1,1
2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,Tuesday,97.8,1,2
2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,Wednesday,105.65,1,3
2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,Thursday,66.72,1,4
2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,Friday,61.74,1,5
2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,Saturday,54.870000000000005,0,6
2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,Sunday,37.34,0,0
2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,Monday,50.68,0,1
2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,Tuesday,67.38,1,2
2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,Wednesday,62.01,1,3
2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,Thursday,58.540000000000006,1,4
2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,Friday,71.66,1,5
2014-03-01,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,Saturday,82.175,1,6
2014-03-02,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,Sunday,15.94,0,0
2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,Monday,36.580000000000005,0,1
2014-03-04,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,Tuesday,84.835,1,2
2014-03-05,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,Wednesday,37.34,0,3
2014-03-06,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,Thursday,78.6,1,4
2014-03-07,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,Friday,48.84,0,5
2014-03-08,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,Saturday,47.010000000000005,0,6
2014-03-09,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,Sunday,24.3,0,0
2014-03-10,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,Monday,75.83,1,1
2014-03-11,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,Tuesday,68.1,1,2
2014-03-12,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,Wednesday,64.12,1,3
2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,Thursday,65.47,1,4
2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,Friday,37.22,0,5
2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,Saturday,67.3,1,6
2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,Sunday,29.08,0,0
2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,Monday,64.02,1,1
2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,Tuesday,50.1,0,2
2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,Wednesday,36.82,0,3
2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,Thursday,64.34,1,4
2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,Friday,61.18,1,5
2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,Saturday,70.38000000000001,1,6
2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,Sunday,35.739999999999995,0,0
2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,Monday,50.78,0,1
2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,Tuesday,61.94,1,2
2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,Wednesday,35.03,0,3
2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,Thursday,40.03,0,4
2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,Friday,40.67,0,5
2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,Saturday,60.53,1,6
2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,Sunday,28.34,0,0
2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,Monday,44.08,0,1
2014-04-01,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,Tuesday,51.68,0,2
2014-04-02,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,Wednesday,49.58,0,3
2014-04-03,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,Thursday,32.54,0,4
2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,Friday,55.67,0,5
2014-04-05,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,Saturday,58.28,0,6
2014-04-06,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,Sunday,25.0,0,0
2014-04-07,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,Monday,55.34,0,1
2014-04-08,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,Tuesday,39.08,0,2
2014-04-09,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,Wednesday,33.62,0,3
2014-04-10,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,Thursday,42.01,0,4
2014-04-11,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,Friday,44.0,0,5
2014-04-12,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,Saturday,73.86,1,6
2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,Sunday,23.0,0,0
2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,Monday,59.65,1,1
2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,Tuesday,55.44,0,2
2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,Wednesday,43.83,0,3
2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,Thursday,47.88,0,4
2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,Friday,61.3,1,5
2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,Saturday,51.99,0,6
2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,Sunday,0.0,0,0
2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,Monday,27.62,0,1
2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,Tuesday,57.805,0,2
2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,Wednesday,48.58,0,3
2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,Thursday,45.1,0,4
2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,Friday,49.92,0,5
2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,Saturday,70.50999999999999,1,6
2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,Sunday,38.54,0,0
2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,Monday,48.53,0,1
2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,Tuesday,54.45,0,2
2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,Wednesday,79.12,1,3
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,Thursday,0.0,0,4
2014-05-02,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,Friday,91.48,1,5
2014-05-03,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,Saturday,35.44,0,6
2014-05-04,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,Sunday,33.56,0,0
2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,Monday,47.785,0,1
2014-05-06,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,Tuesday,60.7,1,2
2014-05-07,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,Wednesday,52.45,0,3
2014-05-08,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,Thursday,46.14,0,4
2014-05-09,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,Friday,44.2,0,5
2014-05-10,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,Saturday,83.4,1,6
2014-05-11,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,Sunday,34.68,0,0
2014-05-12,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,Monday,43.68,0,1
2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,Tuesday,81.72,1,2
2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,Wednesday,42.32,0,3
2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,Thursday,36.66,0,4
2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,Friday,60.34,1,5
2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,Saturday,65.02,1,6
2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,Sunday,26.74,0,0
2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,Monday,48.08,0,1
2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,Tuesday,51.975,0,2
2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,Wednesday,41.58,0,3
2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,Thursday,28.21,0,4
2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,Friday,55.74,0,5
2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,Saturday,61.713,1,6
2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,Sunday,27.0,0,0
2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,Monday,44.42,0,1
2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,Tuesday,55.94,0,2
2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,Wednesday,34.14,0,3
2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,Thursday,57.64,0,4
2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,Friday,47.54,0,5
2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,Saturday,66.00999999999999,1,6
2014-06-01,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,Sunday,21.68,0,0
2014-06-02,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,Monday,63.64,1,1
2014-06-03,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,Tuesday,48.4,0,2
2014-06-04,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,Wednesday,42.68,0,3
2014-06-05,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,Thursday,41.02,0,4
2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,Friday,49.305,0,5
2014-06-07,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,Saturday,75.18,1,6
2014-06-08,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,Sunday,33.0,0,0
2014-06-09,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,Monday,62.67,1,1
2014-06-10,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,Tuesday,65.16,1,2
2014-06-11,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,Wednesday,58.82,1,3
2014-06-12,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,Thursday,41.14,0,4
2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,Friday,33.68,0,5
2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,Saturday,37.02,0,6
2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,Sunday,18.64,0,0
2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,Monday,49.28,0,1
2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,Tuesday,42.34,0,2
2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,Wednesday,36.7,0,3
2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,Thursday,30.33,0,4
2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,Friday,44.86,0,5
2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,Saturday,47.68,0,6
2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,Sunday,40.02,0,0
2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,Monday,55.22,0,1
2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,Tuesday,57.34,0,2
2014-06-25,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,Wednesday,74.14,1,3
2014-06-26,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,Thursday,50.6,0,4
2014-06-27,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,Friday,60.64,1,5
2014-06-28,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,Saturday,51.68,0,6
2014-06-29,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,Sunday,14.0,0,0
2014-06-30,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,Monday,43.34,0,1
2014-07-01,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,Tuesday,39.68,0,2
2014-07-02,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,Wednesday,44.94,0,3
2014-07-03,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,Thursday,38.51,0,4
2014-07-04,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,Friday,45.54,0,5
2014-07-05,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,Saturday,62.68,1,6
2014-07-06,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,Sunday,28.2,0,0
2014-07-07,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,Monday,37.34,0,1
2014-07-08,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,Tuesday,34.68,0,2
2014-07-09,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,Wednesday,39.540000000000006,0,3
2014-07-10,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,Thursday,77.19,1,4
2014-07-11,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,Friday,46.38,0,5
2014-07-12,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,Saturday,80.62,1,6
2014-07-13,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,Sunday,23.34,0,0
2014-07-14,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,Monday,46.84,0,1
2014-07-15,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,Tuesday,40.92,0,2
2014-07-16,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,Wednesday,40.34,0,3
2014-07-17,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,Thursday,51.0,0,4
2014-07-18,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,Friday,40.04,0,5
2014-07-19,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,Saturday,50.75,0,6
2014-07-20,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,Sunday,17.44,0,0
2014-07-21,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,7,Monday,51.68,0,1
2014-07-22,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,7,Tuesday,32.68,0,2
2014-07-23,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,7,Wednesday,41.04,0,3
2014-07-24,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,7,Thursday,41.74,0,4
2014-07-25,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2014,7,Friday,43.52,0,5
2014-07-26,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2014,7,Saturday,70.08,1,6
2014-07-27,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2014,7,Sunday,28.34,0,0
2014-07-28,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2014,7,Monday,25.44,0,1
2014-07-29,2.34,0.68,1.0,13.0,15.0,3.0,0.0,5.0,2014,7,Tuesday,40.02,0,2
2014-07-30,0.68,1.34,5.0,13.5,14.0,0.0,6.0,4.5,2014,7,Wednesday,45.02,0,3
2014-07-31,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,2014,7,Thursday,26.84,0,4
2014-08-01,2.0,1.0,2.2,14.0,17.0,1.0,0.0,1.0,2014,8,Friday,38.2,0,5
2014-08-02,5.0,2.01,6.0,29.0,12.0,0.0,5.0,3.0,2014,8,Saturday,62.01,1,6
2014-08-03,5.0,1.0,3.0,6.0,5.0,5.0,0.0,0.0,2014,8,Sunday,25.0,0,0
2014-08-04,4.0,5.02,6.0,21.5,14.0,0.0,0.0,4.0,2014,8,Monday,54.52,0,1
2014-08-05,2.0,1.34,3.0,17.1,9.0,0.0,0.0,0.0,2014,8,Tuesday,32.44,0,2
2014-08-06,6.0,5.0,1.4,17.0,7.0,1.0,1.0,1.0,2014,8,Wednesday,39.4,0,3
2014-08-07,3.34,2.68,3.0,33.0,13.0,1.0,0.0,2.0,2014,8,Thursday,58.02,0,4
2014-08-08,5.02,4.02,5.0,13.0,12.0,3.0,2.0,2.0,2014,8,Friday,46.04,0,5
2014-08-09,4.0,1.34,6.0,19.0,24.0,3.0,0.0,5.9,2014,8,Saturday,63.24,1,6
2014-08-10,4.0,0.34,4.0,3.0,4.0,0.0,0.0,2.0,2014,8,Sunday,17.34,0,0
2014-08-11,8.0,5.36,9.2,20.0,18.0,0.0,0.0,2.0,2014,8,Monday,62.56,1,1
2014-08-12,0.0,1.36,4.5,10.0,8.0,1.0,0.0,4.6,2014,8,Tuesday,29.46,0,2
2014-08-13,1.34,3.34,1.0,20.3,11.0,0.0,0.0,7.0,2014,8,Wednesday,43.98,0,3
2014-08-14,4.0,2.34,6.0,14.4,13.0,0.0,0.0,6.0,2014,8,Thursday,45.74,0,4
2014-08-15,4.34,4.02,7.0,13.2,15.0,2.0,3.0,2.0,2014,8,Friday,50.56,0,5
2014-08-16,8.0,2.43,5.0,19.0,27.0,2.0,0.0,1.0,2014,8,Saturday,64.43,1,6
2014-08-17,0.34,0.68,2.0,6.5,7.0,0.0,0.0,1.0,2014,8,Sunday,17.52,0,0
2014-08-18,4.34,6.0,3.1,16.5,21.0,3.0,10.0,2.0,2014,8,Monday,65.94,1,1
2014-08-19,11.34,6.35,5.0,16.1,13.0,1.0,3.0,1.1,2014,8,Tuesday,56.89,0,2
2014-08-20,5.34,5.34,1.4,9.0,10.0,2.0,0.0,1.0,2014,8,Wednesday,34.08,0,3
2014-08-21,3.0,1.0,2.0,18.0,16.0,1.0,0.0,2.2,2014,8,Thursday,43.2,0,4
2014-08-22,6.34,1.34,5.0,19.0,15.0,0.0,0.0,1.0,2014,8,Friday,47.68,0,5
2014-08-23,3.0,3.02,1.0,25.6,5.0,0.0,0.0,4.0,2014,8,Saturday,41.620000000000005,0,6
2014-08-24,3.0,2.175,3.0,7.0,12.0,0.0,1.0,0.0,2014,8,Sunday,28.175,0,0
2014-08-25,4.01,3.175,3.0,21.2,21.0,0.0,0.0,0.0,2014,8,Monday,52.385,0,1
2014-08-26,2.34,5.34,3.0,31.0,14.0,1.0,1.0,3.0,2014,8,Tuesday,60.68,1,2
2014-08-27,3.34,8.02,4.0,21.0,14.0,0.0,0.0,3.0,2014,8,Wednesday,53.36,0,3
2014-08-28,2.34,5.36,6.0,32.67,19.0,0.0,4.0,0.0,2014,8,Thursday,69.37,1,4
2014-08-29,6.34,3.68,5.0,26.28,18.0,1.0,0.0,3.0,2014,8,Friday,63.3,1,5
2014-08-30,3.68,3.02,7.0,13.0,13.0,1.0,0.0,4.0,2014,8,Saturday,44.7,0,6
2014-08-31,0.0,2.68,1.0,15.0,13.0,0.0,7.0,2.0,2014,8,Sunday,40.68,0,0
